232	158	212	158
285	310	280	312
226	158	204	158
331	150	335	150
317	197	319	198
274	303	269	306
325	160	328	161
138	159	141	158
341	235	347	238
262	241	259	241
271	257	267	258
291	194	285	195
330	188	332	189
212	203	191	202
285	252	281	253
277	161	269	161
294	221	290	222
330	133	326	134
306	157	303	158
385	475	387	485
171	265	171	263
274	149	262	149
358	302	372	307
221	151	196	150
226	153	200	152
284	254	278	256
160	195	155	194
394	448	404	458
246	162	232	162
353	191	361	193
292	289	287	291
339	399	349	405
274	361	268	363
342	232	348	235
154	491	133	485
215	256	196	255
281	265	276	266
232	267	212	267
104	479	103	471
139	163	143	162
154	201	151	200
270	195	259	195
332	160	338	160
231	146	208	146
284	379	278	381
311	227	309	229
132	148	134	147
135	154	138	153
260	238	257	238
311	224	310	226
236	410	213	409
190	197	175	196
237	422	216	422
183	55	176	56
204	256	188	255
372	411	386	418
153	502	131	495
280	236	271	237
155	63	145	64
215	259	195	258
277	310	271	312
221	314	201	313
289	321	284	323
289	318	284	320
290	381	284	383
281	382	274	385
170	255	168	254
293	381	288	384
230	368	210	368
235	418	214	418
298	315	296	317
326	173	330	174
155	188	152	187
240	197	221	196
170	261	170	260
153	163	152	162
207	314	190	313
122	440	125	434
171	270	171	268
381	424	393	433
187	161	174	161
280	397	274	399
127	124	132	124
158	241	155	240
104	474	106	466
227	258	207	257
134	112	137	112
245	199	229	199
294	374	289	377
222	147	196	147
327	179	329	181
224	426	201	425
227	318	207	317
128	200	136	198
222	317	201	316
185	226	172	225
277	234	267	235
242	200	225	200
127	121	132	120
134	109	137	109
237	382	216	381
279	300	274	302
136	188	138	187
290	372	284	374
132	240	137	238
244	237	226	237
224	421	201	420
141	500	124	494
227	311	207	310
160	237	156	235
